,record_id,annotation_index,event_center_sample,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,sao2_mean,sao2_std,pr_mean,pr_std,eeg_sec_mean,eeg_sec_std,ecg_mean,ecg_std,emg_mean,emg_std,eog_l_mean,eog_l_std,eog_r_mean,eog_r_std,eeg_mean,eeg_std,airflow_mean,airflow_std,thor_res_mean,thor_res_std,abdo_res_mean,abdo_res_std
record_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annotation_index,,1.0,0.8288837011668635,0.8289102920972358,0.8289102920972361,0.8289102920972358,0.8289102920972361,-0.14722437125601412,-0.026688410967377257,0.41719858493091805,-0.06604567033262515,0.007877977460208976,-0.1349955926097627,0.14172841674409434,-0.16656627426117623,0.16709276150347593,-0.20393432094580558,-0.020610945556752684,-0.11350957043518363,0.0856553201393341,0.025980844881224385,0.039792976788609706,-0.2154126099379057,0.1411314234595978,-0.6707646334231226,0.020509184680333536,-0.1306404013337484,0.11287732478687783,-0.09347345654127975
event_center_sample,,0.8288837011668635,1.0,0.9999994669141278,0.9999994669141276,0.9999994669141278,0.9999994669141276,-0.240235884232373,-0.06997374467536933,0.5414509359163251,-0.019061179095219948,-0.019558339677137857,-0.08568964154520309,0.1834944255880986,-0.129999015707824,0.09363924323759734,-0.011677334599792422,-0.07996396104465504,-0.04238155518651652,0.013574303907633034,0.11147063745550116,-0.06410460479463335,-0.09516499434817804,0.15943665569120077,-0.7850726042767193,-0.03816368868334742,0.0433391550274307,0.04985816499829833,0.0824293829238746
epoch_start_sample,,0.8289102920972358,0.9999994669141278,1.0,1.0,1.0,1.0,-0.24016860501787624,-0.06992455951297712,0.5414485342275327,-0.018923943481640997,-0.019515968482232176,-0.08565381260699788,0.18356893711892025,-0.12993279371698574,0.09355241295009077,-0.011522905348889336,-0.08000530575824027,-0.0423323068098093,0.013473712645446204,0.11152681552523179,-0.06405981607695259,-0.09510973031023802,0.15943005537636276,-0.7851244574136893,-0.03823905243417448,0.04338919304674732,0.04975513344075499,0.08248491648252455
epoch_end_sample,,0.8289102920972361,0.9999994669141276,1.0,1.0,1.0,1.0,-0.2401686050178763,-0.0699245595129771,0.5414485342275325,-0.018923943481641024,-0.019515968482232176,-0.08565381260699788,0.18356893711892033,-0.12993279371698582,0.0935524129500909,-0.01152290534888942,-0.08000530575824026,-0.04233230680980932,0.013473712645446202,0.11152681552523179,-0.06405981607695259,-0.09510973031023799,0.15943005537636276,-0.7851244574136894,-0.03823905243417447,0.043389193046747265,0.04975513344075504,0.08248491648252444
epoch_start_sec,,0.8289102920972358,0.9999994669141278,1.0,1.0,1.0,1.0,-0.24016860501787624,-0.06992455951297712,0.5414485342275327,-0.018923943481640997,-0.019515968482232176,-0.08565381260699788,0.18356893711892025,-0.12993279371698574,0.09355241295009077,-0.011522905348889336,-0.08000530575824027,-0.0423323068098093,0.013473712645446204,0.11152681552523179,-0.06405981607695259,-0.09510973031023802,0.15943005537636276,-0.7851244574136893,-0.03823905243417448,0.04338919304674732,0.04975513344075499,0.08248491648252455
epoch_end_sec,,0.8289102920972361,0.9999994669141276,1.0,1.0,1.0,1.0,-0.2401686050178763,-0.0699245595129771,0.5414485342275325,-0.018923943481641024,-0.019515968482232176,-0.08565381260699788,0.18356893711892033,-0.12993279371698582,0.0935524129500909,-0.01152290534888942,-0.08000530575824026,-0.04233230680980932,0.013473712645446202,0.11152681552523179,-0.06405981607695259,-0.09510973031023799,0.15943005537636276,-0.7851244574136894,-0.03823905243417447,0.043389193046747265,0.04975513344075504,0.08248491648252444
sao2_mean,,-0.14722437125601412,-0.240235884232373,-0.24016860501787624,-0.2401686050178763,-0.24016860501787624,-0.2401686050178763,1.0,-0.2531684686153639,-0.521844800844332,-0.1357915028384971,0.062439693173234584,0.041757550186955074,0.1805789554449905,0.032626339372949426,-0.07316686955144291,0.019296087758734027,-0.015506350787407433,-0.1695111450619779,0.002009627689810784,-0.1801207477351815,0.008917746261029707,0.037287452466021845,-0.009866489180060525,0.2720711152280419,0.17367681493256606,-0.07116231364638621,0.1243041075587969,-0.22299032329501114
sao2_std,,-0.026688410967377257,-0.06997374467536933,-0.06992455951297712,-0.0699245595129771,-0.06992455951297712,-0.0699245595129771,-0.2531684686153639,1.0,0.14046123577560238,0.5313442257927611,-0.0032990686364025167,-0.019217620167982098,0.01732188373345352,-0.0025196426448626367,0.006875376441013726,-0.0020030643252089476,-0.04133102881706752,0.08149739247883589,-0.012695061313854993,0.04573625826467925,0.026339415333277723,-0.03072926764473371,-0.1784807884652256,0.01565733796784301,-0.158930951293408,0.1647120108104975,-0.07613837039391819,0.22660098838527135
pr_mean,,0.41719858493091805,0.5414509359163251,0.5414485342275327,0.5414485342275325,0.5414485342275327,0.5414485342275325,-0.521844800844332,0.14046123577560238,1.0,0.3666755678036284,-0.09956796534000667,-0.10952133429765508,-0.20699481385383617,0.08415643876219808,-0.18259320421261033,0.24784094259961714,0.02130165398648491,0.26910323756949245,-0.017052670496170725,0.3598817500687231,-0.03302681194863005,-0.09352079614265577,0.19350195688750277,-0.5362633090732113,-0.19779111174318975,0.18132966273532927,-0.14853751465243567,0.4161259560092478
