model,fold,accuracy,macro_f1,cohen_kappa,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3,per_class_f1_rem,per_class_f1_w
random_forest,0,0.8041956519372503,0.5921013675385861,0.6422190537759224,0.210240901032433,0.7487433299822133,0.6027846027846028,0.47958019621263975,0.919157807681042
random_forest,1,0.8063816195259494,0.6268334773126925,0.6531572430276364,0.2712113781265326,0.7222964301615987,0.7059229442208166,0.5195597203629332,0.9151769136915814
random_forest,2,0.792457428659228,0.6073502718782814,0.6198899525440376,0.2625309588394858,0.692934235141747,0.6480582524271845,0.5308260577568839,0.9024018552261057
random_forest,3,0.7822898162287947,0.5875287301098809,0.5915920427388057,0.27385213211984866,0.669752566907928,0.6410944206008584,0.4525891989448841,0.9003553319758854
random_forest,4,0.7956880918799113,0.6240527809805727,0.6480431792026476,0.2642164369576314,0.7181427343078246,0.7136757068667051,0.5053207212533255,0.9189083055173768
xgboost,0,0.8152672088136995,0.5793474485861039,0.647063044705454,0.1466234315522346,0.7540949830019573,0.6223191566703017,0.452705426981695,0.9209942447243307
xgboost,1,0.8128028901224778,0.5998759235655863,0.6507508560355351,0.16052498738011106,0.7241591153432653,0.6954424273200457,0.502726015135487,0.916527072649022
xgboost,2,0.8177830053724131,0.6121602205985219,0.6534701171882626,0.16786946972074052,0.7104676431575085,0.7321428571428571,0.5287452207160236,0.92157591225548
xgboost,3,0.807305139152928,0.5868574100429942,0.6208849364339872,0.17124965967873673,0.6892717869292253,0.6902351658620153,0.46529163894433356,0.9182387988006601
xgboost,4,0.8025861966789537,0.6120875396236997,0.6479838551186949,0.20698644421272158,0.7188430216231396,0.7252081756245269,0.490911939830774,0.9184881168273361
