column,count,mean,median,mode,std,var,min,max,range,iqr,skewness,kurtosis
eeg_bandpower_alpha,457652,1.2457926353952445e-16,-0.20255986595293995,-0.528052400870053,1.0000010925349816,1.000002185071157,-0.528052400870053,153.52365304233166,154.0517054432017,0.44208480952617935,52.60170361646302,5951.26596163045
eeg_bandpower_beta,457652,-3.204531405104417e-17,-0.24789951274522276,-0.40454831257585905,1.0000010925349816,1.0000021850711567,-0.40454831257585905,175.32350899154997,175.72805730412583,0.3136370371576459,34.78259089831069,4326.687941724865
eeg_bandpower_delta,457652,-2.782228816834843e-16,-0.28459484538428964,-0.7340300908551499,1.0000010925349816,1.000002185071157,-0.7340300908551499,102.6319528481846,103.36598293903975,0.8069849431653795,15.917551736635348,979.4545636888279
eeg_bandpower_theta,457652,3.527468678487033e-17,-0.22732238379742567,-0.6346520017575489,1.0000010925349816,1.0000021850711567,-0.6346520017575489,128.67586714647373,129.3105191482313,0.5802134096927001,37.385085129729575,3576.473951142346
eeg_mean,457652,5.2166790315653304e-18,0.006516572316139313,-2.939707906145732,1.0000010925349814,1.0000021850711565,-182.17835255486668,163.06010841605342,345.2384609709201,0.08150027062404784,-3.620407871546716,17284.941944072278
eeg_rel_power_alpha,457652,-2.4841328721739667e-16,-0.28962984419063487,7.283375544207506,1.0000010925349818,1.0000021850711571,-1.0335589990831353,16.37517997393231,17.408738973015442,0.8463689111493984,3.4341409734984736,19.102600830909264
eeg_rel_power_beta,457652,-1.7537978077548206e-16,-0.3465043960009325,4.759236092343485,1.0000010925349816,1.0000021850711567,-0.9399837065190675,8.403305319056143,9.34328902557521,0.8977171510615038,2.2591974174755336,6.152286971893723
eeg_rel_power_delta,457652,-2.0061857075676957e-15,0.25173267872663896,-4.619003195430698,1.0000010925349816,1.000002185071157,-5.133406041048097,1.5872295943385044,6.720635635386602,1.1944918604496557,-1.3199728619672084,1.8136097900618733
eeg_rel_power_theta,457652,-2.384767557287008e-16,-0.1669433974983658,-1.3471051392740434,1.0000010925349816,1.0000021850711567,-2.0342776687033277,14.53601023670646,16.57028790540979,1.155892626799576,1.5905260857872006,5.920047016525157
eeg_rms,457652,2.5735616555722295e-16,-0.11334751545943134,1.0186286346848337,1.0000010925349816,1.0000021850711567,-1.0992324501337294,130.72107429009532,131.82030674022906,0.7711591062303047,53.085994317030675,5377.398955404616
eeg_spectral_entropy,457652,8.942878339826282e-16,-0.09272218416532604,-3.8542180785923774,1.0000010925349816,1.0000021850711567,-4.815981113169692,3.0812162499464195,7.897197363116112,1.2416978669295604,0.4308398992907938,0.4015616070854149
eeg_std,457652,7.2139218607932e-16,-0.1480228654408572,-1.5135030118273687,1.0000010925349816,1.0000021850711567,-1.5135030118273687,89.89533733198076,91.40884034380812,1.0600132881060826,16.272589443488236,1021.6262626814446
eeg_theta_alpha_ratio,457652,-2.186036927513091e-16,-0.2128141760483332,-1.5881733017619104,1.0000010925349818,1.0000021850711571,-1.6350780311506437,37.892876797553,39.52795482870364,1.1571620306843826,2.115350054250533,17.85606489079482
eeg_var,457652,-1.0930184637565455e-17,-0.04240132973794264,-0.09783624976285174,1.0000010925349816,1.0000021850711567,-0.09783624976285174,248.32358600581043,248.42142225557328,0.08917807354329334,170.90710903476793,33318.58974130171
eeg_zero_crossing_rate,457652,-7.333160238657551e-16,-0.2602751105433601,-0.5350358085217881,1.0000010925349818,1.0000021850711573,-1.3517556814117944,6.175174998988078,7.526930680399873,0.9830887358861189,2.3698335104249426,8.344959889833579
epoch_end_sample,457652,3842810.0893255137,3651000.0,681000.0,2390981.7721356037,5716793834684.713,3000.0,8640000.0,8637000.0,4143000.0,0.16657111329159152,-1.1909918775985573
epoch_end_sec,457652,38428.100893255134,36510.0,6810.0,23909.817721356038,571679383.4684712,30.0,86400.0,86370.0,41430.0,0.16657111329159197,-1.190991877598556
epoch_index,457652,1277.927827257392,1216.0,0.0,797.5305218534811,636054.933287886,0.0,2879.0,2879.0,1384.0,0.1651435240802107,-1.1931784602089803
epoch_start_sample,457652,3839810.0893255137,3648000.0,678000.0,2390981.7721356037,5716793834684.713,0.0,8637000.0,8637000.0,4143000.0,0.16657111329159152,-1.1909918775985573
epoch_start_sec,457652,38398.100893255134,36480.0,6780.0,23909.817721356038,571679383.4684712,0.0,86370.0,86370.0,41430.0,0.16657111329159197,-1.190991877598556
sfreq_hz,457652,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,,
sleep_stage_n1,457652,1.788575667965256e-17,-0.24126994862482454,-0.24126994862482454,1.0000010925349816,1.0000021850711567,-0.24126994862482454,4.144734997871628,4.386004946496453,0.0,3.9034778432957653,13.237197121390722
sleep_stage_n2,457652,-9.141608969600198e-17,-0.4912869309448743,-0.4912869309448743,1.0000010925349816,1.000002185071157,-0.4912869309448743,2.0354703881023997,2.526757319047274,0.0,1.544188518393762,0.3845198607228655
sleep_stage_n3,457652,-3.676516650817471e-17,-0.21070229219314326,-0.21070229219314326,1.0000010925349816,1.0000021850711567,-0.21070229219314326,4.746032848486223,4.956735140679366,0.0,4.535345421352834,18.569439241881867
sleep_stage_rem,457652,-5.763188263443603e-17,-0.2841195649575457,-0.2841195649575457,1.0000010925349816,1.000002185071157,-0.2841195649575457,3.5196449781606,3.8037645431181457,0.0,3.235536018004182,8.468730333259167
sleep_stage_w,457652,-3.974612595478347e-17,0.7608510679088832,0.7608510679088832,1.0000010925349818,1.0000021850711571,-1.3143176663317198,0.7608510679088832,2.075168734240603,2.075168734240603,-0.5534684124723208,-1.6936801180214447
