column,category,frequency,proportion_pct
eeg_channel,eeg_fpz_cz,457652,100.0
hypnogram_file,sleep-cassette/SC4482FJ-Hypnogram.edf,2880,0.6293
hypnogram_file,sleep-cassette/SC4481FV-Hypnogram.edf,2880,0.6293
hypnogram_file,sleep-cassette/SC4572FC-Hypnogram.edf,2873,0.6278
hypnogram_file,sleep-cassette/SC4272FM-Hypnogram.edf,2870,0.6271
hypnogram_file,sleep-cassette/SC4651EP-Hypnogram.edf,2860,0.6249
hypnogram_file,sleep-cassette/SC4152EC-Hypnogram.edf,2859,0.6247
hypnogram_file,sleep-cassette/SC4102EC-Hypnogram.edf,2857,0.6243
hypnogram_file,sleep-cassette/SC4622EJ-Hypnogram.edf,2856,0.6241
hypnogram_file,sleep-cassette/SC4462FJ-Hypnogram.edf,2854,0.6236
hypnogram_file,sleep-cassette/SC4371FA-Hypnogram.edf,2850,0.6227
hypnogram_file,sleep-cassette/SC4632EA-Hypnogram.edf,2848,0.6223
hypnogram_file,sleep-cassette/SC4012EC-Hypnogram.edf,2848,0.6223
hypnogram_file,sleep-cassette/SC4182EC-Hypnogram.edf,2842,0.621
hypnogram_file,sleep-cassette/SC4372FC-Hypnogram.edf,2840,0.6206
hypnogram_file,sleep-cassette/SC4652EG-Hypnogram.edf,2838,0.6201
hypnogram_file,sleep-cassette/SC4571FV-Hypnogram.edf,2836,0.6197
hypnogram_file,sleep-cassette/SC4062EC-Hypnogram.edf,2830,0.6184
hypnogram_file,sleep-cassette/SC4002EC-Hypnogram.edf,2829,0.6182
hypnogram_file,sleep-cassette/SC4662EJ-Hypnogram.edf,2820,0.6162
hypnogram_file,sleep-cassette/SC4031EC-Hypnogram.edf,2820,0.6162
hypnogram_file,sleep-cassette/SC4712EA-Hypnogram.edf,2820,0.6162
hypnogram_file,sleep-cassette/SC4591GY-Hypnogram.edf,2819,0.616
hypnogram_file,sleep-cassette/SC4282GC-Hypnogram.edf,2814,0.6149
hypnogram_file,sleep-cassette/SC4131EC-Hypnogram.edf,2814,0.6149
hypnogram_file,sleep-cassette/SC4802GV-Hypnogram.edf,2810,0.614
hypnogram_file,sleep-cassette/SC4552FW-Hypnogram.edf,2810,0.614
hypnogram_file,sleep-cassette/SC4071EC-Hypnogram.edf,2810,0.614
hypnogram_file,sleep-cassette/SC4822GC-Hypnogram.edf,2810,0.614
hypnogram_file,sleep-cassette/SC4331FV-Hypnogram.edf,2809,0.6138
hypnogram_file,sleep-cassette/SC4302EV-Hypnogram.edf,2808,0.6136
hypnogram_file,sleep-cassette/SC4292GC-Hypnogram.edf,2807,0.6133
hypnogram_file,sleep-cassette/SC4211EC-Hypnogram.edf,2805,0.6129
hypnogram_file,sleep-cassette/SC4021EH-Hypnogram.edf,2804,0.6127
hypnogram_file,sleep-cassette/SC4052EC-Hypnogram.edf,2804,0.6127
hypnogram_file,sleep-cassette/SC4201EC-Hypnogram.edf,2803,0.6125
hypnogram_file,sleep-cassette/SC4011EH-Hypnogram.edf,2802,0.6123
hypnogram_file,sleep-cassette/SC4261FM-Hypnogram.edf,2800,0.6118
hypnogram_file,sleep-cassette/SC4491GJ-Hypnogram.edf,2800,0.6118
hypnogram_file,sleep-cassette/SC4602EJ-Hypnogram.edf,2800,0.6118
hypnogram_file,sleep-cassette/SC4562FJ-Hypnogram.edf,2800,0.6118
hypnogram_file,sleep-cassette/SC4081EC-Hypnogram.edf,2796,0.6109
hypnogram_file,sleep-cassette/SC4342FA-Hypnogram.edf,2790,0.6096
hypnogram_file,sleep-cassette/SC4451FY-Hypnogram.edf,2790,0.6096
hypnogram_file,sleep-cassette/SC4642EP-Hypnogram.edf,2790,0.6096
hypnogram_file,sleep-cassette/SC4402EW-Hypnogram.edf,2790,0.6096
hypnogram_file,sleep-cassette/SC4472FA-Hypnogram.edf,2789,0.6094
hypnogram_file,sleep-cassette/SC4281GC-Hypnogram.edf,2788,0.6092
hypnogram_file,sleep-cassette/SC4042EC-Hypnogram.edf,2788,0.6092
hypnogram_file,sleep-cassette/SC4112EC-Hypnogram.edf,2780,0.6074
hypnogram_file,sleep-cassette/SC4432EM-Hypnogram.edf,2780,0.6074
hypnogram_file,sleep-cassette/SC4671GJ-Hypnogram.edf,2780,0.6074
hypnogram_file,sleep-cassette/SC4731EM-Hypnogram.edf,2780,0.6074
hypnogram_file,sleep-cassette/SC4442EV-Hypnogram.edf,2778,0.607
hypnogram_file,sleep-cassette/SC4142EU-Hypnogram.edf,2774,0.6061
hypnogram_file,sleep-cassette/SC4191EP-Hypnogram.edf,2774,0.6061
hypnogram_file,sleep-cassette/SC4801GC-Hypnogram.edf,2774,0.6061
hypnogram_file,sleep-cassette/SC4522EM-Hypnogram.edf,2774,0.6061
hypnogram_file,sleep-cassette/SC4551FC-Hypnogram.edf,2772,0.6057
hypnogram_file,sleep-cassette/SC4382FW-Hypnogram.edf,2770,0.6053
hypnogram_file,sleep-cassette/SC4061EC-Hypnogram.edf,2770,0.6053
hypnogram_file,sleep-cassette/SC4072EH-Hypnogram.edf,2770,0.6053
hypnogram_file,sleep-cassette/SC4502EM-Hypnogram.edf,2770,0.6053
hypnogram_file,sleep-cassette/SC4412EM-Hypnogram.edf,2765,0.6042
hypnogram_file,sleep-cassette/SC4421EA-Hypnogram.edf,2764,0.604
hypnogram_file,sleep-cassette/SC4222EC-Hypnogram.edf,2760,0.6031
hypnogram_file,sleep-cassette/SC4251EP-Hypnogram.edf,2760,0.6031
hypnogram_file,sleep-cassette/SC4631EM-Hypnogram.edf,2758,0.6026
hypnogram_file,sleep-cassette/SC4332FC-Hypnogram.edf,2758,0.6026
hypnogram_file,sleep-cassette/SC4181EC-Hypnogram.edf,2756,0.6022
hypnogram_file,sleep-cassette/SC4771GC-Hypnogram.edf,2756,0.6022
hypnogram_file,sleep-cassette/SC4141EU-Hypnogram.edf,2756,0.6022
hypnogram_file,sleep-cassette/SC4291GA-Hypnogram.edf,2756,0.6022
hypnogram_file,sleep-cassette/SC4022EJ-Hypnogram.edf,2755,0.602
hypnogram_file,sleep-cassette/SC4162EC-Hypnogram.edf,2750,0.6009
hypnogram_file,sleep-cassette/SC4501EW-Hypnogram.edf,2750,0.6009
hypnogram_file,sleep-cassette/SC4512EW-Hypnogram.edf,2750,0.6009
hypnogram_file,sleep-cassette/SC4381FC-Hypnogram.edf,2750,0.6009
hypnogram_file,sleep-cassette/SC4341FA-Hypnogram.edf,2750,0.6009
hypnogram_file,sleep-cassette/SC4722EM-Hypnogram.edf,2746,0.6
hypnogram_file,sleep-cassette/SC4532EV-Hypnogram.edf,2744,0.5996
hypnogram_file,sleep-cassette/SC4231EJ-Hypnogram.edf,2743,0.5994
hypnogram_file,sleep-cassette/SC4171EU-Hypnogram.edf,2741,0.5989
hypnogram_file,sleep-cassette/SC4471FA-Hypnogram.edf,2739,0.5985
hypnogram_file,sleep-cassette/SC4541FA-Hypnogram.edf,2739,0.5985
hypnogram_file,sleep-cassette/SC4581GM-Hypnogram.edf,2738,0.5983
hypnogram_file,sleep-cassette/SC4032EP-Hypnogram.edf,2732,0.597
hypnogram_file,sleep-cassette/SC4711EC-Hypnogram.edf,2730,0.5965
hypnogram_file,sleep-cassette/SC4612EA-Hypnogram.edf,2730,0.5965
hypnogram_file,sleep-cassette/SC4601EC-Hypnogram.edf,2730,0.5965
hypnogram_file,sleep-cassette/SC4411EJ-Hypnogram.edf,2728,0.5961
hypnogram_file,sleep-cassette/SC4431EM-Hypnogram.edf,2723,0.595
hypnogram_file,sleep-cassette/SC4051EC-Hypnogram.edf,2722,0.5948
hypnogram_file,sleep-cassette/SC4821GC-Hypnogram.edf,2721,0.5946
hypnogram_file,sleep-cassette/SC4091EC-Hypnogram.edf,2721,0.5946
hypnogram_file,sleep-cassette/SC4172EC-Hypnogram.edf,2720,0.5943
hypnogram_file,sleep-cassette/SC4262FC-Hypnogram.edf,2720,0.5943
hypnogram_file,sleep-cassette/SC4101EC-Hypnogram.edf,2719,0.5941
hypnogram_file,sleep-cassette/SC4511EJ-Hypnogram.edf,2712,0.5926
hypnogram_file,sleep-cassette/SC4351FA-Hypnogram.edf,2710,0.5922
hypnogram_file,sleep-cassette/SC4242EA-Hypnogram.edf,2710,0.5922
hypnogram_file,sleep-cassette/SC4561FJ-Hypnogram.edf,2702,0.5904
hypnogram_file,sleep-cassette/SC4312EM-Hypnogram.edf,2700,0.59
hypnogram_file,sleep-cassette/SC4241EC-Hypnogram.edf,2700,0.59
hypnogram_file,sleep-cassette/SC4221EJ-Hypnogram.edf,2700,0.59
hypnogram_file,sleep-cassette/SC4461FA-Hypnogram.edf,2695,0.5889
hypnogram_file,sleep-cassette/SC4212EC-Hypnogram.edf,2694,0.5887
