column,dtype,non_null_count,missing_count,missing_pct,n_unique
abdo_res_mean,float64,305,0,0.0,77
abdo_res_std,float64,305,0,0.0,277
airflow_mean,float64,305,0,0.0,191
airflow_std,float64,305,0,0.0,278
annotation_index,float64,305,0,0.0,217
annotation_source_arou,float64,305,0,0.0,2
annotation_source_resp,float64,305,0,0.0,2
ecg_mean,float64,305,0,0.0,26
ecg_std,float64,305,0,0.0,121
eeg_mean,float64,305,0,0.0,67
eeg_sec_mean,float64,305,0,0.0,78
eeg_sec_std,float64,305,0,0.0,272
eeg_std,float64,305,0,0.0,270
emg_mean,float64,305,0,0.0,22
emg_std,float64,305,0,0.0,61
eog_l_mean,float64,305,0,0.0,145
eog_l_std,float64,305,0,0.0,275
eog_r_mean,float64,305,0,0.0,129
eog_r_std,float64,305,0,0.0,274
epoch_end_sample,float64,305,0,0.0,278
epoch_end_sec,float64,305,0,0.0,278
epoch_start_sample,float64,305,0,0.0,278
epoch_start_sec,float64,305,0,0.0,278
event_center_sample,float64,305,0,0.0,305
event_label,object,305,0,0.0,275
event_label_Arousal 0:03.1,float64,305,0,0.0,2
event_label_Arousal 0:03.2,float64,305,0,0.0,2
event_label_Arousal 0:03.3,float64,305,0,0.0,2
event_label_Arousal 0:03.9,float64,305,0,0.0,2
event_label_Arousal 0:04.0,float64,305,0,0.0,2
event_label_Arousal 0:04.1,float64,305,0,0.0,2
event_label_Arousal 0:04.2,float64,305,0,0.0,2
event_label_Arousal 0:04.3,float64,305,0,0.0,2
event_label_Arousal 0:04.4,float64,305,0,0.0,2
event_label_Arousal 0:04.5,float64,305,0,0.0,2
event_label_Arousal 0:04.7,float64,305,0,0.0,2
event_label_Arousal 0:05.1,float64,305,0,0.0,2
event_label_Arousal 0:05.3,float64,305,0,0.0,2
event_label_Arousal 0:05.4,float64,305,0,0.0,2
event_label_Arousal 0:05.6,float64,305,0,0.0,2
event_label_Arousal 0:05.9,float64,305,0,0.0,2
event_label_Arousal 0:06.0,float64,305,0,0.0,2
event_label_Arousal 0:06.2,float64,305,0,0.0,2
event_label_Arousal 0:06.3,float64,305,0,0.0,2
event_label_Arousal 0:06.4,float64,305,0,0.0,2
event_label_Arousal 0:06.8,float64,305,0,0.0,2
event_label_Arousal 0:07.0,float64,305,0,0.0,2
event_label_Arousal 0:07.2,float64,305,0,0.0,2
event_label_Arousal 0:07.3,float64,305,0,0.0,2
event_label_Arousal 0:07.5,float64,305,0,0.0,2
event_label_Arousal 0:07.6,float64,305,0,0.0,2
event_label_Arousal 0:07.8,float64,305,0,0.0,2
event_label_Arousal 0:08.0,float64,305,0,0.0,2
event_label_Arousal 0:08.1,float64,305,0,0.0,2
event_label_Arousal 0:08.2,float64,305,0,0.0,2
event_label_Arousal 0:08.3,float64,305,0,0.0,2
event_label_Arousal 0:08.7,float64,305,0,0.0,2
event_label_Arousal 0:08.8,float64,305,0,0.0,2
event_label_Arousal 0:09.2,float64,305,0,0.0,2
event_label_Arousal 0:09.7,float64,305,0,0.0,2
event_label_Arousal 0:10.0,float64,305,0,0.0,2
event_label_Arousal 0:10.1,float64,305,0,0.0,2
event_label_Arousal 0:10.2,float64,305,0,0.0,2
event_label_Arousal 0:10.4,float64,305,0,0.0,2
event_label_Arousal 0:10.7,float64,305,0,0.0,2
event_label_Arousal 0:10.8,float64,305,0,0.0,2
event_label_Arousal 0:11.1,float64,305,0,0.0,2
event_label_Arousal 0:11.2,float64,305,0,0.0,2
event_label_Arousal 0:11.3,float64,305,0,0.0,2
event_label_Arousal 0:11.5,float64,305,0,0.0,2
event_label_Arousal 0:11.6,float64,305,0,0.0,2
event_label_Arousal 0:11.8,float64,305,0,0.0,2
event_label_Arousal 0:12.2,float64,305,0,0.0,2
event_label_Arousal 0:13.0,float64,305,0,0.0,2
event_label_Arousal 0:13.6,float64,305,0,0.0,2
event_label_Arousal 0:13.8,float64,305,0,0.0,2
event_label_Arousal 0:14.3,float64,305,0,0.0,2
event_label_Arousal 0:14.9,float64,305,0,0.0,2
event_label_Arousal 0:15.0,float64,305,0,0.0,2
event_label_Arousal 0:15.4,float64,305,0,0.0,2
event_label_Arousal 0:15.5,float64,305,0,0.0,2
event_label_Arousal 0:16.3,float64,305,0,0.0,2
event_label_Arousal 0:17.1,float64,305,0,0.0,2
event_label_Arousal 0:17.3,float64,305,0,0.0,2
event_label_Arousal 0:17.5,float64,305,0,0.0,2
event_label_Arousal 0:18.0,float64,305,0,0.0,2
event_label_Arousal 0:18.1,float64,305,0,0.0,2
event_label_Arousal 0:18.4,float64,305,0,0.0,2
event_label_Arousal 0:19.2,float64,305,0,0.0,2
event_label_Arousal 0:19.4,float64,305,0,0.0,2
event_label_Arousal 0:21.1,float64,305,0,0.0,2
event_label_Arousal 0:21.3,float64,305,0,0.0,2
event_label_Arousal 0:21.4,float64,305,0,0.0,2
event_label_Arousal 0:22.1,float64,305,0,0.0,2
event_label_Arousal 0:27.8,float64,305,0,0.0,2
event_label_Arousal 0:29.9,float64,305,0,0.0,2
event_label_Cn.A 0:13.4 2 95,float64,305,0,0.0,2
event_label_Cn.A 0:13.6 2 95,float64,305,0,0.0,2
event_label_Cn.A 0:14.7 6 89,float64,305,0,0.0,2
event_label_Hyp 0:10.0 2 92,float64,305,0,0.0,2
event_label_Hyp 0:10.0 3 95,float64,305,0,0.0,2
event_label_Hyp 0:10.1 2 95,float64,305,0,0.0,2
event_label_Hyp 0:10.3 1 93,float64,305,0,0.0,2
event_label_Hyp 0:10.3 1 95,float64,305,0,0.0,2
event_label_Hyp 0:10.3 1 97,float64,305,0,0.0,2
event_label_Hyp 0:10.3 3 93,float64,305,0,0.0,2
event_label_Hyp 0:10.6 1 95,float64,305,0,0.0,2
event_label_Hyp 0:10.6 2 93,float64,305,0,0.0,2
event_label_Hyp 0:10.6 2 95,float64,305,0,0.0,2
event_label_Hyp 0:10.8 0 96,float64,305,0,0.0,2
event_label_Hyp 0:10.8 1 92,float64,305,0,0.0,2
event_label_Hyp 0:10.8 2 92,float64,305,0,0.0,2
event_label_Hyp 0:10.8 2 93,float64,305,0,0.0,2
event_label_Hyp 0:10.8 2 94,float64,305,0,0.0,2
event_label_Hyp 0:10.8 2 95,float64,305,0,0.0,2
event_label_Hyp 0:11.0 1 95,float64,305,0,0.0,2
event_label_Hyp 0:11.1 0 95,float64,305,0,0.0,2
event_label_Hyp 0:11.1 1 94,float64,305,0,0.0,2
event_label_Hyp 0:11.1 1 95,float64,305,0,0.0,2
event_label_Hyp 0:11.1 2 93,float64,305,0,0.0,2
event_label_Hyp 0:11.1 2 95,float64,305,0,0.0,2
event_label_Hyp 0:11.1 3 93,float64,305,0,0.0,2
event_label_Hyp 0:11.1 5 92,float64,305,0,0.0,2
event_label_Hyp 0:11.3 0 95,float64,305,0,0.0,2
event_label_Hyp 0:11.3 0 96,float64,305,0,0.0,2
event_label_Hyp 0:11.3 1 94,float64,305,0,0.0,2
event_label_Hyp 0:11.3 1 95,float64,305,0,0.0,2
event_label_Hyp 0:11.3 2 94,float64,305,0,0.0,2
event_label_Hyp 0:11.3 3 94,float64,305,0,0.0,2
event_label_Hyp 0:11.5 1 95,float64,305,0,0.0,2
event_label_Hyp 0:11.6 1 96,float64,305,0,0.0,2
event_label_Hyp 0:11.6 2 94,float64,305,0,0.0,2
event_label_Hyp 0:11.8 0 95,float64,305,0,0.0,2
event_label_Hyp 0:11.8 1 94,float64,305,0,0.0,2
event_label_Hyp 0:11.8 3 94,float64,305,0,0.0,2
event_label_Hyp 0:11.8 4 93,float64,305,0,0.0,2
event_label_Hyp 0:11.8 6 89,float64,305,0,0.0,2
