,record_id,epoch_index,epoch_start_sample,epoch_end_sample,epoch_start_sec,epoch_end_sec,sao2_mean,sao2_std,pr_mean,pr_std,eeg_sec_mean,eeg_sec_std,ecg_mean,ecg_std,emg_mean,emg_std,eog_l_mean,eog_l_std,eog_r_mean,eog_r_std,eeg_mean,eeg_std,airflow_mean,airflow_std,thor_res_mean,thor_res_std,abdo_res_mean,abdo_res_std
record_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch_index,,1.0,1.0,1.0,1.0,1.0,-0.19590357505044545,-0.08786188049510796,0.29126183787365967,-0.01754155167558523,-0.019248707059857137,-0.22224580945623465,0.3025903270716942,-0.09932898275591498,0.2583422949626149,-0.26212450536129833,-0.11533824873727686,-0.12251495819555963,-0.11424564144493748,-0.15085576427241468,0.030860068133436187,-0.29495544669545376,0.0565511804388698,-0.7397332312789788,0.012233024187489241,-0.14578616776892003,0.006964398912627925,-0.10072528443054406
epoch_start_sample,,1.0,1.0,1.0,1.0,1.0,-0.1959035750504454,-0.0878618804951079,0.2912618378736597,-0.017541551675585305,-0.019248707059857147,-0.22224580945623498,0.30259032707169425,-0.09932898275591498,0.2583422949626147,-0.2621245053612985,-0.1153382487372766,-0.12251495819555984,-0.11424564144493767,-0.15085576427241493,0.03086006813343614,-0.29495544669545404,0.05655118043886985,-0.7397332312789786,0.012233024187489274,-0.14578616776892006,0.0069643989126279065,-0.10072528443054422
epoch_end_sample,,1.0,1.0,1.0,1.0,1.0,-0.1959035750504454,-0.0878618804951079,0.2912618378736597,-0.017541551675585305,-0.019248707059857147,-0.22224580945623498,0.30259032707169425,-0.09932898275591498,0.2583422949626147,-0.2621245053612985,-0.1153382487372766,-0.12251495819555984,-0.11424564144493767,-0.15085576427241493,0.03086006813343614,-0.29495544669545404,0.05655118043886985,-0.7397332312789786,0.012233024187489274,-0.14578616776892006,0.0069643989126279065,-0.10072528443054422
epoch_start_sec,,1.0,1.0,1.0,1.0,1.0,-0.1959035750504454,-0.0878618804951079,0.2912618378736597,-0.017541551675585305,-0.019248707059857147,-0.22224580945623498,0.30259032707169425,-0.09932898275591498,0.2583422949626147,-0.2621245053612985,-0.1153382487372766,-0.12251495819555984,-0.11424564144493767,-0.15085576427241493,0.03086006813343614,-0.29495544669545404,0.05655118043886985,-0.7397332312789786,0.012233024187489274,-0.14578616776892006,0.0069643989126279065,-0.10072528443054422
epoch_end_sec,,1.0,1.0,1.0,1.0,1.0,-0.1959035750504454,-0.0878618804951079,0.2912618378736597,-0.017541551675585305,-0.019248707059857147,-0.22224580945623498,0.30259032707169425,-0.09932898275591498,0.2583422949626147,-0.2621245053612985,-0.1153382487372766,-0.12251495819555984,-0.11424564144493767,-0.15085576427241493,0.03086006813343614,-0.29495544669545404,0.05655118043886985,-0.7397332312789786,0.012233024187489274,-0.14578616776892006,0.0069643989126279065,-0.10072528443054422
sao2_mean,,-0.19590357505044545,-0.1959035750504454,-0.1959035750504454,-0.1959035750504454,-0.1959035750504454,1.0,-0.715827418230234,-0.075709323719878,-0.5210693977865334,0.029645419825473363,0.0237053998148583,-0.06353547722890908,-0.08982511581322417,0.16106452068365446,-0.09883313928829025,-0.17075428369962334,-0.09932900401998733,-0.12052043910808316,-0.07027846479727379,0.015572047366427547,0.04048179674515302,-0.020992675563193727,0.23259248763921822,0.10563582390332096,-0.0979221569337329,-0.10133916017393704,-0.17130120625325898
sao2_std,,-0.08786188049510796,-0.0878618804951079,-0.0878618804951079,-0.0878618804951079,-0.0878618804951079,-0.715827418230234,1.0,-0.0006082200208044708,0.7686812588041517,-0.02481157197816394,0.1117814332146051,0.06510343205079205,0.23224715838813592,-0.3893493850158905,0.33250835225865705,0.29518342084137394,0.23554582009515554,0.2620605532634231,0.20484468198316766,-0.02515531746912112,0.09171962711829676,-0.012641818064421863,0.0296213685664927,-0.21639223150370265,0.27332973466984023,0.14588423368564987,0.3165356209858629
pr_mean,,0.29126183787365967,0.2912618378736597,0.2912618378736597,0.2912618378736597,0.2912618378736597,-0.075709323719878,-0.0006082200208044708,1.0,0.3176754029564302,0.03264683947912864,-0.20736022129149756,-0.2565275145894993,0.34085968201093825,-0.20605393861455792,0.3729674574018807,0.11782116767715464,0.5244225808379624,0.18920905045283434,0.5103477455351876,0.10625688925396803,-0.24461885840185882,-0.0023151326896791737,-0.35810623363492566,-0.18953408015495665,0.06981129104615273,-0.06480096161001073,0.3917027687502058
pr_std,,-0.01754155167558523,-0.017541551675585305,-0.017541551675585305,-0.017541551675585305,-0.017541551675585305,-0.5210693977865334,0.7686812588041517,0.3176754029564302,1.0,-0.019354903615037406,0.12455274291530553,0.047196439500802996,0.37665885491116274,-0.4332228054841691,0.4896115206813761,0.3385038526045061,0.4581813759425913,0.2996046057937443,0.41803242123621015,-0.029975578739333923,0.09422114105242077,-0.04727023410741755,-0.030110353486897286,-0.3108530827545654,0.4374005633175281,0.06317722240268907,0.5467851550259593
